  705263.     -0.148422E+07 0.0 0.0   144.750    
  705273.     -0.148434E+07 0.0 0.0   144.760    
  705227.     -0.148444E+07 0.0 0.0   144.770    
  705126.     -0.148450E+07 0.0 0.0   144.780    
  705011.     -0.148450E+07 0.0 0.0   144.790    
  704900.     -0.148447E+07 0.0 0.0   144.799    
  704796.     -0.148442E+07 0.0 0.0   144.809    
  704695.     -0.148437E+07 0.0 0.0   144.819    
  704596.     -0.148431E+07 0.0 0.0   144.829    
  704497.     -0.148425E+07 0.0 0.0   144.839    
  704400.     -0.148419E+07 0.0 0.0   144.849    
  704297.     -0.148414E+07 0.0 0.0   144.859    
  704191.     -0.148409E+07 0.0 0.0   144.869    
  704083.     -0.148405E+07 0.0 0.0   144.879    
  703975.     -0.148401E+07 0.0 0.0   144.888    
  703866.     -0.148398E+07 0.0 0.0   144.898    
  703755.     -0.148395E+07 0.0 0.0   144.908    
  703644.     -0.148392E+07 0.0 0.0   144.918    
  703533.     -0.148389E+07 0.0 0.0   144.928    
  703426.     -0.148384E+07 0.0 0.0   144.938    
  703321.     -0.148380E+07 0.0 0.0   144.948    
  703221.     -0.148374E+07 0.0 0.0   144.958    
  703116.     -0.148369E+07 0.0 0.0   144.968    
  703004.     -0.148372E+07 0.0 0.0   144.977    
  702960.     -0.148383E+07 0.0 0.0   144.987    
  702985.     -0.148394E+07 0.0 0.0   144.997    
  703038.     -0.148404E+07 0.0 0.0   145.007    
  703093.     -0.148414E+07 0.0 0.0   145.017    
  703145.     -0.148425E+07 0.0 0.0   145.027    
  703193.     -0.148435E+07 0.0 0.0   145.037    
  703228.     -0.148446E+07 0.0 0.0   145.047    
  703239.     -0.148457E+07 0.0 0.0   145.057    
  703225.     -0.148469E+07 0.0 0.0   145.066    
  703181.     -0.148479E+07 0.0 0.0   145.076    
  703104.     -0.148488E+07 0.0 0.0   145.086    
  702999.     -0.148493E+07 0.0 0.0   145.096    
  702884.     -0.148492E+07 0.0 0.0   145.106    
  702776.     -0.148489E+07 0.0 0.0   145.116    
  702677.     -0.148483E+07 0.0 0.0   145.126    
